Date,Country,CPI,IP,LongRate,ShortRate,Stocks,Inflation_YoY,Inflation_MoM,IP_Growth_YoY,Term_Spread,Real_Short_Rate,Real_Stock_Return
2010-04-01,COL,0.462383200077053,94.9059950336999,8.837122924,3.492094,3.98359032394962,38.728720781492335,61.05967555228048,7.08528001914195,5.345028924000001,-35.23662678149233,-57.30455421937547
2010-04-01,CZE,0.431499460625663,81.6931922339805,3.84,1.0,7.06082194559237,-2302.5850929940457,69.09873525064903,9.628985169262256,2.84,2303.5850929940457,-12.177940877078193
2010-04-01,DEU,93.7501473688182,88.3429430935071,3.0645,0.3533,4.24097433666811,1.5113637810048544,0.3004509020299386,13.7267892788507,2.7112,-1.1580637810048544,-44.91505956023914
2010-04-01,DNK,0.107181136120055,86.8,3.343,0.7367,5.25561395126612,-2302.5850929940457,-179.8211104509413,0.46189458562944585,2.6063,2303.3217929940456,187.6527226223854
2010-04-01,ESP,1.06534008933621,105.943,3.90142105263158,0.3533,0.767317563634454,8.734309869444413,36.189981463775204,2.651209283414662,3.54812105263158,-8.381009869444412,-210.4955906169256
2010-04-01,FRA,94.5439393308054,98.4291797568354,3.40161904761905,0.3533,1.89189862870289,1.6531064874984243,0.16938390668481637,6.7665760152054455,3.0483190476190503,-1.2998064874984243,-122.13572671795943
2010-04-01,GBR,0.5,89.7294457578146,4.1007,0.4726,1.8130161429776,51.08256237659907,22.314355131420978,-1.6260520871778938,3.6281,-50.60996237659907,-163.46246790453597
2010-04-01,GRC,1.17707488469572,110.733899151273,7.83,0.3533,-6.23267696608904,136.29799175667375,-98.38331594289069,-5.0977644936186355,7.4767,-135.94469175667376,-2204.201777051155
2010-04-01,HUN,0.5,77.4905897114178,6.57,5.2317,6.07554000697281,-47.00036292457318,-33.64722366212171,10.939859440710675,1.3383000000000003,52.232062924573185,-22.512193847031178
2010-04-01,ISR,0.811123986095018,94.8009367681499,4.97,1.52,-0.965426895255446,-16.531747062326254,194.47507286356858,14.089895216223344,3.4499999999999997,18.051747062326253,-2497.0601658576143
2010-04-01,ITA,0.359712230215824,105.39121739855,3.996,0.3533,1.76370765497308,49.70622772035102,22.026170493927903,8.6149233648012,3.6427,-49.352927720351026,-120.05693651225562
2010-04-01,JPN,96.6231121669778,102.577232802452,1.286,0.093,5.29493333333332,-0.9053182704258536,-0.21052639354620936,21.495187090344796,1.193,0.9983182704258535,13.49244171005982
2010-04-01,KOR,0.402585884988805,91.2870679579969,4.91,2.0,4.08260247109634,41.658275965087235,68.82320180799685,18.67210606232935,2.91,-39.658275965087235,-66.43831448929203
2010-04-01,LUX,0.296377607025263,100.8,3.514,0.3533,4.87709524507648,13.780742325306438,-64.16027393046353,15.646817796762068,3.1607,-13.427442325306437,2.0317901190795737
2010-04-01,MEX,-0.318630733767957,86.0801510973136,7.54,3.4,2.34185462435419,-2302.5850929940457,-2302.5850929940457,9.58305563194362,4.140000000000001,2305.9850929940458,2232.1148232523065
2010-04-01,NLD,0.337801024299879,95.6840526578904,3.321,0.3533,4.11266013564431,42.817927894240945,-125.99823720105157,8.729639908077157,2.9677000000000002,-42.46462789424095,90.24147925365021
2010-04-01,NOR,0.216216216216216,93.8462620437443,3.84,2.02,4.40816913562491,-43.955307044704156,-92.17107993434966,2.9199154692261917,1.8199999999999998,45.97530704470416,86.81282484561861
2010-04-01,POL,0.4,77.7935172068994,5.57,3.75,4.92551779626474,-55.96157879354225,28.7682072451781,10.707578194458133,1.8200000000000003,59.71157879354225,-66.36532696410221
2010-04-01,PRT,0.406987329841794,98.96011726,4.78,0.3533,0.0230242119689405,48.77843912358683,-104.77137292859953,-1.722242449232151,4.4267,-48.42513912358683,-413.39239715615537
2010-04-01,SWE,0.0132744831248079,103.8,3.14,0.35,3.69974752379104,-245.07785918268578,-289.2764024047295,6.261359272798668,2.79,245.42785918268578,226.68799328193907
2010-04-01,USA,91.724644223832,92.4855185666405,3.85,0.2,3.46278704628387,2.1827739611835764,0.02300140778757956,6.364258666668218,3.65,-1.9827739611835764,-49.686074830559996
2010-05-01,AUT,0.0912408759124112,89.0442200383301,3.2082,0.3439,-8.2533914970502,-111.88894811071638,-110.13532679995302,9.50227259249937,2.8643,112.23284811071639,-2192.4497661940927
2010-05-01,BEL,0.399611189113287,92.0076673056088,3.31,0.3439,-6.30368604405369,-2302.5850929940457,14.171992697498084,-0.43384015985986873,2.9661,2302.9289929940455,-2316.7570856915436
2010-05-01,CAN,91.4142744271794,92.7134741613603,3.4455,0.2437,-2.9153159170606,1.3049336977721058,0.08646779613541966,6.73939062060605,3.2018,-1.0612336977721057,-2302.671560790181
2010-05-01,CHL,0.363211830328191,93.3508795029369,6.364313794,0.43,0.0087760437482916,-2302.5850929940457,-22.769403696658205,8.097829545841146,5.934313794,2303.0150929940455,-480.9063574855908
2010-05-01,COL,0.105475117460934,93.8311457963817,8.599206275,3.018921,-2.55217261175957,168.50912017567242,-147.7918913037391,4.393636240274315,5.580285275,-165.49019917567242,-2154.7932016903064
2010-05-01,DEU,93.7501473688182,91.0503885685635,2.734285714,0.3439,-6.15778963369199,1.4098924379502114,0.0,12.41357707347779,2.3903857139999998,-1.0659924379502113,-2302.5850929940457
2010-05-01,ESP,0.221557296544169,104.791,4.08414285714286,0.3439,-13.5831320239471,-2302.5850929940457,-157.03681287002246,3.3074090344947384,3.7402428571428596,2302.9289929940455,-2145.548280124023
2010-05-01,FIN,-0.129999999999997,104.8,3.03,0.3439,-9.7275603387536,-34.828169458077554,-2302.5850929940457,7.5283060420548376,2.6860999999999997,35.17206945807755,0.0
2010-05-01,FRA,94.5739405808575,98.9891750902076,3.07566666666667,0.3439,-9.75739318240595,1.6633286773044702,0.03172756623306044,5.9198727078418205,2.73176666666667,-1.31942867730447,-2302.616820560279
2010-05-01,GBR,0.2,90.3598634095088,3.7772,0.4842,-8.49145455212627,-69.31471805599453,-91.6290731874155,1.2873202936206412,3.293,69.79891805599453,-2210.95601980663
2010-05-01,GRC,0.798358514627119,112.431352970544,7.97,0.3439,-15.076725356638,121.4363510879585,-38.822996558736854,-4.5995091837741295,7.6261,-121.0924510879585,127.15762230796821
2010-05-01,HUN,0.900000000000006,81.9071518193224,7.07,4.9725,-8.40878898834509,-51.0825623765984,58.77866649021257,15.762894420358172,2.0975,56.0550623765984,-2361.3637594842585
2010-05-01,IRL,0.524109014675053,59.3439878399827,4.86,0.3439,-8.37908257650942,-2302.5850929940457,50.76760148630587,2.334411303459606,4.516100000000001,2302.9289929940455,-2353.3526944803516
2010-05-01,ISR,0.344827586206897,95.6440281030445,4.87,1.52,-7.64054636951833,-31.802278950442542,-85.53763809524045,15.431393180705108,3.35,33.322278950442545,292.40303928692856
2010-05-01,ITA,0.0716845878136075,106.191150737439,3.985,0.3439,-11.5370605825017,-111.37805101413933,-161.3028580564995,7.628330474963491,3.6411,111.72195101413934,-2141.282234937546
2010-05-01,JPN,96.6231121669778,102.270421537838,1.257,0.091,-6.92708227809632,-0.6081412315101867,0.0,17.435338714477812,1.166,0.6991412315101867,-2302.5850929940457
2010-05-01,LUX,0.186056692568681,100.4,3.174,0.3439,-13.6767469673672,73.08560932484367,-46.55829146927611,14.440417498628245,2.8301,-72.74170932484367,-2256.02680152477
2010-05-01,MEX,-0.630105017502093,86.7234185793587,7.49,3.4,-5.7398997504197,77.1635790171095,68.1853642058375,12.601964759492487,4.09,-73.76357901710949,-2370.7704571998834
2010-05-01,NLD,-0.0434404865334323,95.5840693217797,3.018,0.3439,-8.29307131353708,-2302.5850929940457,-2302.5850929940457,6.370205099260569,2.6740999999999997,2302.9289929940455,0.0
2010-05-01,NOR,-0.539374325782093,91.9051972712568,3.46,2.09,-6.35718713410013,-2302.5850929940457,-2302.5850929940457,2.5105921131076694,1.37,2304.675092994046,0.0
2010-05-01,POL,0.3,81.0932422298142,5.72,3.75,-5.21537705284017,-51.08256237659907,-28.768207245178107,14.576016708082326,1.9699999999999998,54.83256237659907,-2273.8168857488677
2010-05-01,PRT,0.135468111659871,99.52828644,5.02,0.3439,-9.28648680249043,-2302.5850929940457,-110.00457800283682,1.6268957102039412,4.6761,2302.9289929940455,-2192.580514991209
2010-05-01,SWE,0.185818097355414,105.3,2.73,0.35,-6.79214658051629,-2302.5850929940457,263.8924593594255,10.2936527539389,2.38,2302.9350929940456,-2566.4775523534713
