,Period,INDPRO
273,2012-10,97.5311
274,2012-11,97.9084
275,2012-12,98.1884
276,2013-01,98.1736
277,2013-02,98.6434
278,2013-03,99.047
279,2013-04,98.9445
280,2013-05,99.0383
281,2013-06,99.2221
282,2013-07,98.8987
283,2013-08,99.4897
284,2013-09,100.021
285,2013-10,99.9037
286,2013-11,100.1582
287,2013-12,100.374
288,2014-01,99.9899
289,2014-02,100.7471
290,2014-03,101.7435
291,2014-04,101.8273
292,2014-05,102.2392
293,2014-06,102.5774
294,2014-07,102.7954
295,2014-08,102.6322
296,2014-09,102.9417
297,2014-10,102.9611
298,2014-11,103.5978
299,2014-12,103.6151
300,2015-01,102.7923
301,2015-02,102.1366
302,2015-03,101.7869
303,2015-04,101.2255
304,2015-05,100.7675
305,2015-06,100.4588
306,2015-07,101.0893
307,2015-08,100.9165
308,2015-09,100.633
309,2015-10,100.1563
310,2015-11,99.4366
311,2015-12,98.9471
312,2016-01,99.4391
313,2016-02,98.9232
314,2016-03,98.1635
315,2016-04,98.4775
316,2016-05,98.2549
317,2016-06,98.7315
318,2016-07,98.8452
319,2016-08,98.7427
320,2016-09,98.6552
321,2016-10,98.7237
322,2016-11,98.3443
323,2016-12,99.0406
324,2017-01,98.8158
325,2017-02,98.4356
326,2017-03,99.0492
327,2017-04,100.0416
328,2017-05,100.128
329,2017-06,100.337
330,2017-07,100.0865
331,2017-08,99.6323
332,2017-09,99.7482
333,2017-10,100.9893
334,2017-11,101.2493
335,2017-12,101.4871
336,2018-01,101.4852
337,2018-02,101.7319
338,2018-03,102.1943
339,2018-04,103.3551
340,2018-05,102.381
341,2018-06,103.2256
342,2018-07,103.3561
343,2018-08,104.0585
344,2018-09,104.1038
345,2018-10,103.9297
346,2018-11,104.0126
347,2018-12,104.0451
348,2019-01,103.3598
349,2019-02,102.8251
350,2019-03,102.8361
351,2019-04,102.2748
352,2019-05,102.4176
353,2019-06,102.5425
354,2019-07,102.0057
355,2019-08,102.7814
356,2019-09,102.4601
357,2019-10,101.5878
358,2019-11,102.1494
359,2019-12,101.9421
360,2020-01,101.3372
361,2020-02,101.6718
362,2020-03,97.606
363,2020-04,84.6812
364,2020-05,86.0108
365,2020-06,91.6745
366,2020-07,95.0037
367,2020-08,95.9294
368,2020-09,95.8914
369,2020-10,96.5256
370,2020-11,96.9529
371,2020-12,98.2039
372,2021-01,98.8135
373,2021-02,95.5072
374,2021-03,98.1929
375,2021-04,98.3317
376,2021-05,99.1867
377,2021-06,99.6483
378,2021-07,100.0668
379,2021-08,100.0412
380,2021-09,98.9955
381,2021-10,100.3542
382,2021-11,101.2684
383,2021-12,101.1948
384,2022-01,101.2146
385,2022-02,101.8458
386,2022-03,102.6732
387,2022-04,102.9024
388,2022-05,102.9659
389,2022-06,102.8224
390,2022-07,103.0505
391,2022-08,103.1703
392,2022-09,103.5326
393,2022-10,103.4442
394,2022-11,103.1058
395,2022-12,101.8266
396,2023-01,102.7476
397,2023-02,102.8003
398,2023-03,102.8143
399,2023-04,103.2241
400,2023-05,102.9809
401,2023-06,102.3809
402,2023-07,103.0722
403,2023-08,103.0951
404,2023-09,103.3081
405,2023-10,102.5781
406,2023-11,102.8868
407,2023-12,102.6309
408,2024-01,101.483
409,2024-02,102.7267
410,2024-03,102.5186
411,2024-04,102.3568
412,2024-05,102.9797
413,2024-06,103.2534
414,2024-07,102.5192
415,2024-08,103.0196
416,2024-09,102.5954
417,2024-10,102.2138
418,2024-11,101.9503
419,2024-12,103.0447
